pool_a,pool_b,offset_a_vs_b
9,32,4.603382220046204
9,33,-9.76939454031244
9,34,1.0008544110469109
9,35,1.7758063632776435
9,36,-1.4107586982771583
9,37,-2.086875775346686
9,38,-5.49139856276578
9,39,0.3549635109479656
9,40,4.335864886659495
9,41,-1.2176964134677155
9,42,-2.475342168085825
9,43,-5.347810677312856
9,44,1.4561460933996027
9,45,3.962498195974745
9,46,4.929346745384306
9,47,1.7275540789730914
9,48,-0.8193556720562005
9,49,0.44633245368097074
9,50,-0.040406221742433766
9,51,-5.200992335853917
9,52,-0.10343235220793702
9,53,0.0
9,54,0.0
9,55,0.40183914795372927
9,56,0.0
10,11,-9.669574196262284
10,12,9.655156339917008
10,13,-8.318808199282818
10,14,-3.81517537336115
10,15,12.122966191694767
10,16,4.177580553424413
10,17,-14.796303278963423
